brand,color,fuelType,modelDate,numberOfDoors,productionDate,vehicleTransmission,enginePower,mileage,Привод,Руль,Состояние,Владельцы,ПТС,Таможня,Владение,id,motor,внедорожник,Безопасность,Салон,Мультимедиа,Комфорт,Обзор,Защита от угона,седан,хэтчбек,Элементы экстерьера,Прочее,лифтбек,купе,пикап,минивэн,компактвэн,универсал,родстер,кабриолет,фургон,микровэн,тарга,лимузин,model,car_id,url,price
6,1,1,2004,2,2020,2,163,111847,2,2,2,3,2,1,57888000,30887,1.8,0,4,12,2,12,7,2,1,0,3,2,0,1,0,0,0,0,1,1,0,0,0,0,200,37707489,https://rostov-na-donu.drom.ru/mercedes-benz/e-class/37707489.html,380000
6,1,1,2004,2,2020,2,192,114084,2,1,2,3,2,1,107395200,30887,1.8,0,4,12,2,12,7,2,1,0,3,2,0,1,0,0,0,0,1,1,0,0,0,0,200,36802453,https://habarovsk.drom.ru/mercedes-benz/c-class/36802453.html,450000
6,1,1,2004,2,2020,2,163,108740,2,2,2,3,2,1,2505600,30887,1.8,0,4,12,2,12,7,2,1,0,3,2,0,1,0,0,0,0,1,1,0,0,0,0,200,36394947,https://chelyabinsk.drom.ru/mercedes-benz/c-class/36394947.html,433000
6,1,1,2004,2,2020,2,192,101284,2,2,2,3,2,1,65059200,30887,1.8,0,4,12,2,12,7,2,1,0,3,2,0,1,0,0,0,0,1,1,0,0,0,0,200,33946979,https://novosibirsk.drom.ru/mercedes-benz/c-class/33946979.html,470000
6,1,1,2004,2,2020,2,163,111847,2,2,2,3,2,1,55209600,30887,1.8,0,4,12,2,12,7,2,1,0,3,2,0,1,0,0,0,0,1,1,0,0,0,0,200,37305907,https://rostov-na-donu.drom.ru/mercedes-benz/e-class/37305907.html,380000
6,1,1,2004,2,2020,2,192,103769,2,2,2,2,2,1,363657600,30887,1.8,0,4,12,2,12,7,2,1,0,3,2,0,1,0,0,0,0,1,1,0,0,0,0,200,36885332,https://moscow.drom.ru/mercedes-benz/c-class/36885332.html,425000
6,1,1,2004,2,2019,2,192,109361,2,2,2,3,2,1,39571200,30887,1.8,0,4,12,2,12,7,2,1,0,3,2,0,1,0,0,0,0,1,1,0,0,0,0,200,36511329,https://irkutsk.drom.ru/mercedes-benz/c-class/36511329.html,440000
6,1,1,2004,2,2019,2,192,118061,2,2,2,3,2,1,66182400,30887,1.8,0,4,12,2,12,7,2,1,0,3,2,0,1,0,0,0,0,1,1,0,0,0,0,200,33433353,https://krasnodar.drom.ru/mercedes-benz/c-class/33433353.html,420000
6,1,1,2004,2,2019,2,191,105633,2,2,2,3,2,1,125107200,30887,1.8,0,4,12,2,12,7,2,1,0,3,2,0,1,0,0,0,0,1,1,0,0,0,0,200,32333208,https://surgut.drom.ru/mercedes-benz/c-class/32333208.html,350000
6,1,1,2004,2,2019,2,192,118061,2,2,2,3,2,1,120960000,30887,1.8,0,4,12,2,12,7,2,1,0,3,2,0,1,0,0,0,0,1,1,0,0,0,0,200,34879939,https://irkutsk.drom.ru/mercedes-benz/c-class/34879939.html,455000
