brand,color,fuelType,modelDate,numberOfDoors,productionDate,vehicleTransmission,enginePower,mileage,Привод,Руль,Состояние,Владельцы,ПТС,Таможня,Владение,id,motor,внедорожник,Безопасность,Салон,Мультимедиа,Комфорт,Обзор,Защита от угона,седан,хэтчбек,Элементы экстерьера,Прочее,лифтбек,купе,пикап,минивэн,компактвэн,универсал,родстер,кабриолет,фургон,микровэн,тарга,лимузин,model,car_id,url,price
11,4,1,2015,4,2020,2,184,57788,2,2,2,3,2,1,10022400,24555,2.0,0,12,10,6,15,7,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,320i,37212210,https://rostov-na-donu.drom.ru/bmw/5-series/37212210.html,1190000
11,4,1,2015,4,2020,2,184,61205,2,2,2,1,2,1,113097600,24555,2.0,0,12,10,6,15,7,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,320i,35643681,https://chelyabinsk.drom.ru/bmw/3-series/35643681.html,1150000
11,4,1,2015,4,2019,2,184,60273,2,2,2,1,2,1,123638400,24555,2.0,0,12,10,6,15,7,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,320i,35847558,https://krasnodar.drom.ru/bmw/5-series/35847558.html,1349000
11,4,1,2015,4,2019,2,184,57166,2,2,2,1,2,1,123638400,24555,2.0,0,12,10,6,15,7,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,320i,35288676,https://krasnodar.drom.ru/bmw/5-series/35288676.html,1480000
11,4,1,2015,4,2019,2,184,53935,2,2,2,1,2,1,123638400,24555,2.0,0,12,10,6,15,7,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,320i,35239697,https://perm.drom.ru/bmw/5-series/35239697.html,1390000
11,4,1,2015,4,2019,2,184,64623,2,2,2,1,2,1,123638400,24555,2.0,0,12,10,6,15,7,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,320i,34110675,https://usoliye-sibirskoe.drom.ru/bmw/5-series/34110675.html,1180000
11,4,1,2015,4,2019,2,184,55923,2,2,2,1,2,1,123638400,24555,2.0,0,12,10,6,15,7,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,320i,34528692,https://moscow.drom.ru/bmw/5-series/34528692.html,1300000
11,4,1,2015,4,2019,2,184,59217,2,2,2,1,2,1,123638400,24555,2.0,0,12,10,6,15,7,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,320i,31610320,https://krasnodar.drom.ru/bmw/5-series/31610320.html,1420000
11,4,1,2015,4,2018,2,182,64001,2,2,2,1,2,1,123638400,24555,2.0,0,12,10,6,15,7,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,320i,32104433,https://kyshtym.drom.ru/bmw/3-series/32104433.html,1250000
11,4,1,2015,4,2018,2,184,62137,2,2,2,1,2,1,123638400,24555,2.0,0,12,10,6,15,7,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,320i,31491327,https://irkutsk.drom.ru/bmw/5-series/31491327.html,1530000
11,4,1,2015,4,2018,2,184,54681,2,2,2,1,2,1,123638400,24555,2.0,0,12,10,6,15,7,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,320i,31263977,https://moscow.drom.ru/bmw/5-series/31263977.html,1430000
11,4,1,2015,4,2018,2,184,54681,2,2,2,1,2,1,123638400,24555,2.0,0,12,10,6,15,7,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,320i,31255301,https://rostov-na-donu.drom.ru/bmw/5-series/31255301.html,1430000
11,4,1,2015,4,2018,2,184,59740,2,2,2,1,2,1,123638400,24555,2.0,0,12,10,6,15,7,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,320i,29323572,https://nizhnevartovsk.drom.ru/bmw/5-series/29323572.html,1250000
11,4,1,2015,4,2018,2,184,54059,2,2,2,1,2,1,123638400,24555,2.0,0,12,10,6,15,7,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,320i,29682928,https://moscow.drom.ru/bmw/3-series/29682928.html,1230000
11,4,1,2015,4,2017,2,184,57166,2,2,2,1,2,1,123638400,24555,2.0,0,12,10,6,15,7,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,320i,28057413,https://krasnodar.drom.ru/bmw/5-series/28057413.html,1550000
11,4,1,2015,4,2017,2,184,54059,2,2,2,1,2,1,123638400,24555,2.0,0,12,10,6,15,7,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,320i,24905656,https://krasnoyarsk.drom.ru/bmw/3-series/24905656.html,1399000
