brand,color,fuelType,modelDate,numberOfDoors,productionDate,vehicleTransmission,enginePower,mileage,Привод,Руль,Состояние,Владельцы,ПТС,Таможня,Владение,id,motor,внедорожник,Безопасность,Салон,Мультимедиа,Комфорт,Обзор,Защита от угона,седан,хэтчбек,Элементы экстерьера,Прочее,лифтбек,купе,пикап,минивэн,компактвэн,универсал,родстер,кабриолет,фургон,микровэн,тарга,лимузин,model,car_id,url,price
5,5,1,2012,5,2020,1,86,117439,1,2,2,2,2,1,87609600,12577,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Scout,36675407,https://novorossiysk.drom.ru/skoda/fabia/36675407.html,380000
5,5,1,2012,5,2020,1,152,123653,0,2,2,2,2,1,67651200,12577,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Scout,37718116,https://chehov.drom.ru/skoda/octavia/37718116.html,543000
5,5,1,2012,5,2020,1,102,117439,1,2,2,2,2,1,70675200,12577,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Scout,37657192,https://sysert.drom.ru/skoda/octavia/37657192.html,520000
5,5,1,2012,5,2020,1,152,123031,1,2,2,3,2,1,102556800,12577,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Scout,37544647,https://moscow.drom.ru/skoda/octavia/37544647.html,515000
5,5,1,2014,5,2020,1,86,132973,1,2,2,3,2,1,13737600,12577,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Scout,37313180,https://simferopol.drom.ru/skoda/roomster/37313180.html,360000
5,5,1,2014,5,2020,2,180,147265,0,2,2,2,2,1,112233600,12577,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Scout,37284405,https://murmansk.drom.ru/skoda/octavia/37284405.html,915000
5,5,1,2014,5,2020,2,152,136702,1,2,2,1,2,1,155174400,12577,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Scout,37085060,https://krasnodar.drom.ru/skoda/superb/37085060.html,700000
5,5,1,2012,5,2020,1,102,130488,1,2,2,2,2,1,162172800,12577,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Scout,36991553,https://stupino.drom.ru/skoda/octavia/36991553.html,425000
5,5,1,2013,5,2019,1,152,146022,0,2,2,2,2,1,47347200,12577,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Scout,36354555,https://moscow.drom.ru/skoda/octavia/36354555.html,510000
5,5,1,2012,5,2019,2,152,124274,1,2,2,2,2,1,48470400,12577,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Scout,36234279,https://krasnobrodskiy.drom.ru/skoda/octavia/36234279.html,525000
5,5,1,2013,5,2019,1,152,132973,0,2,2,2,2,1,180921600,12577,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Scout,36300459,https://smolensk.drom.ru/skoda/octavia/36300459.html,600000
5,5,1,2013,5,2019,1,140,117439,1,2,2,0,2,1,155174400,12577,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Scout,36266102,https://yevpatoriya.drom.ru/skoda/octavia/36266102.html,599000
5,5,2,2012,5,2019,2,140,134216,1,2,2,0,2,1,155174400,12577,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Scout,36248887,https://krasnodar.drom.ru/skoda/superb/36248887.html,695000
5,5,1,2012,5,2019,2,102,118061,1,2,2,3,2,1,32054400,12577,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Scout,33731761,https://angarsk.drom.ru/skoda/octavia/33731761.html,550000
5,5,2,2012,5,2019,2,140,118061,1,2,2,2,2,1,98496000,12577,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Scout,34602909,https://tyumen.drom.ru/skoda/superb/34602909.html,800000
5,5,1,2012,5,2019,2,102,124274,1,2,2,1,2,1,155174400,12577,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Scout,35633710,https://kyzyl.drom.ru/skoda/octavia/35633710.html,750000
5,5,1,2012,5,2019,1,102,127381,1,2,2,1,2,1,155174400,12577,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Scout,36011927,https://hasavyurt.drom.ru/skoda/octavia/36011927.html,350000
5,5,1,2012,5,2019,2,152,121167,1,2,2,1,2,1,155174400,12577,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Scout,35991176,https://krasnodar.drom.ru/skoda/octavia/35991176.html,550000
5,5,1,2014,5,2019,1,86,124274,1,2,2,1,2,1,155174400,12577,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Scout,34969372,https://novorossiysk.drom.ru/skoda/fabia/34969372.html,380000
5,5,1,2012,5,2019,2,102,124274,1,2,2,1,2,1,155174400,12577,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Scout,35178721,https://krasnoyarsk.drom.ru/skoda/octavia/35178721.html,755000
5,5,1,2013,5,2019,1,86,118061,1,2,2,1,2,1,155174400,12577,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Scout,35643466,https://barnaul.drom.ru/skoda/fabia/35643466.html,510000
5,5,1,2012,5,2019,1,86,123031,1,2,2,1,2,1,155174400,12577,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Scout,35523066,https://simferopol.drom.ru/skoda/roomster/35523066.html,349000
5,5,1,2012,5,2019,2,102,124274,1,2,2,1,2,1,155174400,12577,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Scout,35257682,https://tyumen.drom.ru/skoda/octavia/35257682.html,655000
5,5,1,2012,5,2019,2,102,124274,1,2,2,1,2,1,155174400,12577,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Scout,34765579,https://krasnoyarsk.drom.ru/skoda/octavia/34765579.html,705000
5,5,1,2012,5,2019,1,102,116570,1,2,2,1,2,1,155174400,12577,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Scout,35002990,https://moscow.drom.ru/skoda/octavia/35002990.html,494400
5,5,1,2014,5,2019,1,86,133595,1,2,2,1,2,1,155174400,12577,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Scout,34911414,https://moscow.drom.ru/skoda/fabia/34911414.html,380000
5,5,1,2012,5,2019,1,105,126760,1,2,2,1,2,1,155174400,12577,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Scout,33245140,https://krasnodar.drom.ru/skoda/roomster/33245140.html,456789
5,5,1,2012,5,2019,2,105,118061,1,2,2,1,2,1,155174400,12577,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Scout,33500124,https://moscow-area.drom.ru/skoda/fabia/33500124.html,395000
5,5,1,2012,5,2019,1,152,118061,0,2,2,1,2,1,155174400,12577,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Scout,33222464,https://feodosiya.drom.ru/skoda/octavia/33222464.html,600000
5,5,1,2012,5,2019,1,86,123653,1,2,2,1,2,1,155174400,12577,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Scout,32432668,https://chelyabinsk.drom.ru/skoda/roomster/32432668.html,369000
5,5,1,2012,5,2018,2,152,123031,1,2,2,1,2,1,155174400,12577,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Scout,32384485,https://dzhankoy.drom.ru/skoda/superb/32384485.html,670000
5,5,1,2012,5,2018,1,86,123653,1,2,2,1,2,1,155174400,12577,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Scout,32162866,https://chelyabinsk.drom.ru/skoda/roomster/32162866.html,395000
5,5,1,2012,5,2018,2,200,142219,1,2,2,1,2,1,155174400,12577,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Scout,31879625,https://spb.drom.ru/skoda/superb/31879625.html,770000
5,5,1,2014,5,2018,2,140,128002,1,2,2,1,2,1,155174400,12577,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Scout,31688204,https://spb.drom.ru/skoda/octavia/31688204.html,250000
5,5,1,2013,5,2018,2,102,142915,1,2,2,1,2,1,155174400,12577,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Scout,30083985,https://sochi.drom.ru/skoda/octavia/30083985.html,650000
5,5,1,2014,5,2018,1,110,139187,1,2,2,1,2,1,155174400,12577,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Scout,29630921,https://moscow.drom.ru/skoda/octavia/29630921.html,800000
5,5,1,2012,5,2018,2,110,116818,1,2,2,1,2,1,155174400,12577,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Scout,29246666,https://sayanogorsk.drom.ru/skoda/octavia/29246666.html,450000
5,5,1,2012,5,2018,1,102,119925,1,2,2,1,2,1,155174400,12577,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Scout,28622707,https://nizhniy-novgorod.drom.ru/skoda/octavia/28622707.html,430000
5,5,1,2012,5,2017,1,86,116818,1,2,2,1,2,1,155174400,12577,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Scout,27319182,https://astrahan.drom.ru/skoda/fabia/27319182.html,430000
5,5,1,2012,5,2016,1,152,125517,0,2,2,1,2,1,155174400,12577,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Scout,21380565,https://voronezh.drom.ru/skoda/octavia/21380565.html,785000
