brand,color,fuelType,modelDate,numberOfDoors,productionDate,vehicleTransmission,enginePower,mileage,Привод,Руль,Состояние,Владельцы,ПТС,Таможня,Владение,id,motor,внедорожник,Безопасность,Салон,Мультимедиа,Комфорт,Обзор,Защита от угона,седан,хэтчбек,Элементы экстерьера,Прочее,лифтбек,купе,пикап,минивэн,компактвэн,универсал,родстер,кабриолет,фургон,микровэн,тарга,лимузин,model,car_id,url,price
6,4,1,2014,4,2020,2,156,60894,2,2,2,3,2,1,114652800,23485,1.6,0,5,1,2,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,37285165,https://krasnodar.drom.ru/mercedes-benz/c-class/37285165.html,1399000
6,4,1,2014,4,2020,2,156,60894,2,2,2,2,2,1,0,23485,1.6,0,5,1,2,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,37235822,https://krasnodar.drom.ru/mercedes-benz/c-class/37235822.html,1450000
6,4,1,2014,4,2020,2,156,56731,2,2,2,3,2,1,-3456000,23485,1.6,0,5,1,2,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,36765097,https://chelyabinsk.drom.ru/mercedes-benz/c-class/36765097.html,1200000
6,4,1,2014,4,2020,2,156,61826,2,2,2,2,2,1,76377600,23485,1.6,0,5,1,2,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,37122810,https://moscow.drom.ru/mercedes-benz/c-class/37122810.html,1337000
6,4,1,2014,4,2020,2,156,61349,2,2,2,3,2,1,39830400,23485,1.6,0,5,1,2,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,36581526,https://krasnodar.drom.ru/mercedes-benz/c-class/36581526.html,1049000
6,4,1,2014,4,2020,2,156,61516,2,2,2,3,2,1,31968000,23485,1.6,0,5,1,2,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,33704198,https://novosibirsk.drom.ru/mercedes-benz/c-class/33704198.html,1440000
6,4,1,2014,4,2019,2,156,58160,2,2,2,1,2,1,172195200,23485,1.6,0,5,1,2,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,36639754,https://krasnodar.drom.ru/mercedes-benz/c-class/36639754.html,1350000
6,4,1,2014,4,2019,2,156,62137,2,2,2,3,2,1,31190400,23485,1.6,0,5,1,2,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,34171288,https://serov.drom.ru/mercedes-benz/c-class/34171288.html,1200000
6,4,1,2014,4,2019,2,156,55302,2,2,2,2,2,1,54777600,23485,1.6,0,5,1,2,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,36521565,https://yevpatoriya.drom.ru/mercedes-benz/c-class/36521565.html,1150000
6,4,1,2014,4,2019,2,156,56545,2,2,2,1,2,1,157075200,23485,1.6,0,5,1,2,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,36034638,https://novosibirsk.drom.ru/mercedes-benz/c-class/36034638.html,1500000
6,4,1,2014,4,2019,2,156,60894,2,2,2,2,2,1,7689600,23485,1.6,0,5,1,2,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,35148412,https://moscow.drom.ru/mercedes-benz/c-class/35148412.html,1225000
6,4,1,2014,4,2019,2,156,60273,2,2,2,2,2,1,33782400,23485,1.6,0,5,1,2,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,35489926,https://omsk.drom.ru/mercedes-benz/c-class/35489926.html,1215000
6,4,1,2014,4,2019,2,156,63380,2,2,2,2,2,1,0,23485,1.6,0,5,1,2,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,35904288,https://kurgan.drom.ru/mercedes-benz/c-class/35904288.html,1145000
6,4,1,2014,4,2019,2,156,57166,2,2,2,2,2,1,0,23485,1.6,0,5,1,2,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,35244633,https://simferopol.drom.ru/mercedes-benz/c-class/35244633.html,1300000
6,4,1,2014,4,2019,2,156,57228,2,2,2,2,2,1,0,23485,1.6,0,5,1,2,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,35533814,https://krasnodar.drom.ru/mercedes-benz/c-class/35533814.html,1420000
6,4,1,2014,4,2019,2,156,65244,2,2,2,2,2,1,0,23485,1.6,0,5,1,2,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,35527675,https://tyumen.drom.ru/mercedes-benz/c-class/35527675.html,1290000
6,4,1,2014,4,2019,2,156,64623,2,2,2,2,2,1,0,23485,1.6,0,5,1,2,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,35372638,https://ekaterinburg.drom.ru/mercedes-benz/c-class/35372638.html,1165000
6,4,1,2014,4,2019,2,156,66502,2,2,2,2,2,1,0,23485,1.6,0,5,1,2,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,35389043,https://tyumen.drom.ru/mercedes-benz/c-class/35389043.html,1250000
6,4,1,2014,4,2019,2,156,60273,2,2,2,2,2,1,0,23485,1.6,0,5,1,2,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,35126176,https://sevastopol.drom.ru/mercedes-benz/c-class/35126176.html,1290000
6,4,1,2014,4,2019,2,156,57788,2,2,2,2,2,1,0,23485,1.6,0,5,1,2,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,34527414,https://barnaul.drom.ru/mercedes-benz/c-class/34527414.html,1300000
6,4,1,2014,4,2019,2,156,67108,2,2,2,2,2,1,0,23485,1.6,0,5,1,2,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,34655571,https://krasnodar.drom.ru/mercedes-benz/c-class/34655571.html,1170000
6,4,1,2014,4,2019,2,156,55923,2,2,2,2,2,1,0,23485,1.6,0,5,1,2,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,34062678,https://nizhnevartovsk.drom.ru/mercedes-benz/c-class/34062678.html,1333000
6,4,1,2014,4,2019,2,156,59030,2,2,2,2,2,1,0,23485,1.6,0,5,1,2,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,33588947,https://sochi.drom.ru/mercedes-benz/c-class/33588947.html,
6,4,1,2014,4,2019,2,156,57788,2,2,2,2,2,1,0,23485,1.6,0,5,1,2,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,35068135,https://krasnodar.drom.ru/mercedes-benz/c-class/35068135.html,1050000
